#Ore_Type|Ore_Name|Wherein|Threshold|Y_Min|Y_Max|Biome
#
#
#JUNGLE
#
#
dirt|dirt_silt_01|sand|0.8|beach_depth|beach|hot_beach
dirt|stone_sandstone|stone_sandstone_gravel|0.8|lowland|shelf|desert
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|lowland|shelf|desert
dirt|stone_sandstone_desert|stone_sandstone_desert_gravel|0.8|lowland|shelf|desert
dirt|stone_sandstone_desert|stone_sandstone_gravel|0.8|lowland|shelf|desert
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|lowland|shelf|desert
dirt|stone_sandstone|stone_sandstone_gravel|0.8|shelf|highland|desert
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|shelf|highland|desert
dirt|stone_sandstone_desert|stone_sandstone_desert_gravel|0.8|shelf|highland|desert
dirt|stone_sandstone_desert|stone_sandstone_gravel|0.8|shelf|highland|desert
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|shelf|highland|desert
dirt|stone_desert|stone_sand|0.8|highland|mountain|desert
dirt|stone_granite_brown_02|stone_sand|0.8|highland|mountain|desert
dirt|stone_sandstone_desert|stone_sand|0.8|highland|mountain|desert
dirt|stone_brown|stone_sand|0.8|highland|mountain|desert
dirt|stone_granite_brown|stone_sand|0.8|highland|mountain|desert
dirt|stone_desert|stone_sandstone_desert|0.8|mountain|strato|desert
dirt|stone_sandstone_desert|stone_sandstone_desert|0.8|mountain|strato|desert
dirt|stone_sandstone_white|stone_sandstone_desert|0.8|mountain|strato|desert
dirt|stone_brown|stone_sandstone_desert|0.8|mountain|strato|desert
dirt|stone_sand|stone_sandstone_desert|0.8|mountain|strato|desert
#
#
#SAVANNAH
#
#
dirt|dirt_silt_01|sand_white|0.8|beach_depth|beach|warm_beach
dirt|dirt_black_with_grass_warm_semiarid_coastal|dirt_with_grass_dry|0.8|beach|highland|warm_semiarid
dirt|dirt_brown_with_grass_warm_semiarid_coastal|dirt_with_grass_dry|0.8|beach|highland|warm_semiarid
dirt|dirt_clayey_with_grass_warm_semiarid_coastal|dirt_with_grass_dry|0.8|beach|highland|warm_semiarid
dirt|dirt_sandy_with_grass_warm_semiarid_coastal|dirt_with_grass_dry|0.8|beach|highland|warm_semiarid
dirt|dirt_silty_with_grass_warm_semiarid_coastal|dirt_with_grass_dry|0.8|beach|highland|warm_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_dry|0.8|beach|highland|warm_semiarid
dirt|stone_basalt_03|stone_sandstone|0.8|highland|mountain|warm_semiarid
dirt|stone_gneiss_02|stone_sandstone|0.8|highland|mountain|warm_semiarid
dirt|stone_brown|stone_sandstone|0.8|highland|mountain|warm_semiarid
dirt|stone_sand|stone_sandstone|0.8|highland|mountain|warm_semiarid
dirt|stone_granite_brown|stone_sandstone|0.8|highland|mountain|warm_semiarid
dirt|stone_sandstone|stone_sandstone_white|0.8|mountain|strato|warm_semiarid
dirt|stone_gneiss_02|stone_sandstone_white|0.8|mountain|strato|warm_semiarid
dirt|stone_brown|stone_sandstone_white|0.8|mountain|strato|warm_semiarid
dirt|stone_sand|stone_sandstone_white|0.8|mountain|strato|warm_semiarid
dirt|stone_granite_brown|stone_sandstone_white|0.8|mountain|strato|warm_semiarid
#
#
#WOODLAND
#
#
dirt|dirt_black_with_grass_temperate_humid_coastal|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_brown_with_grass_temperate_humid_coastal|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_clayey_with_grass_temperate_humid_coastal|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_sandy_with_grass_temperate_humid_coastal|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_silty_with_grass_temperate_humid_coastal|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_black_with_litter_coniferous|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_brown_with_litter_coniferous|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_clayey_with_litter_coniferous|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_sandy_with_litter_coniferous|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|dirt_silty_with_litter_coniferous|dirt_with_grass|0.8|beach|highland|temperate_humid
dirt|stone|stone_bluestone|0.8|highland|mountain|temperate_humid
dirt|stone_desert|stone_bluestone|0.8|highland|mountain|temperate_humid
dirt|stone_diorite|stone_bluestone|0.8|highland|mountain|temperate_humid
dirt|stone_granite_pink|stone_bluestone|0.8|highland|mountain|temperate_humid
dirt|stone_greenstone|stone_bluestone|0.8|highland|mountain|temperate_humid
dirt|stone|stone_greenstone|0.8|mountain|strato|temperate_humid
dirt|stone_desert|stone_greenstone|0.8|mountain|strato|temperate_humid
dirt|stone_diorite|stone_greenstone|0.8|mountain|strato|temperate_humid
dirt|stone_granite_pink|stone_greenstone|0.8|mountain|strato|temperate_humid
dirt|stone_bluestone|stone_greenstone|0.8|mountain|strato|temperate_humid
#
#
#GRASSLAND
#
#
dirt|dirt_black_with_grass_temperate_temperate_coastal|dirt_with_grass_prairie|0.8|beach|coastal|temperate_temperate
dirt|dirt_brown_with_grass_temperate_temperate_coastal|dirt_with_grass_prairie|0.8|beach|coastal|temperate_temperate
dirt|dirt_clayey_with_grass_temperate_temperate_coastal|dirt_with_grass_prairie|0.8|beach|coastal|temperate_temperate
dirt|dirt_sandy_with_grass_temperate_temperate_coastal|dirt_with_grass_prairie|0.8|beach|coastal|temperate_temperate
dirt|dirt_silty_with_grass_temperate_temperate_coastal|dirt_with_grass_prairie|0.8|beach|coastal|temperate_temperate
dirt|dirt_black_with_grass_temperate_temperate_lowland|dirt_with_grass_prairie|0.8|coastal|lowland|temperate_temperate
dirt|dirt_brown_with_grass_temperate_temperate_lowland|dirt_with_grass_prairie|0.8|coastal|lowland|temperate_temperate
dirt|dirt_clayey_with_grass_temperate_temperate_lowland|dirt_with_grass_prairie|0.8|coastal|lowland|temperate_temperate
dirt|dirt_sandy_with_grass_temperate_temperate_lowland|dirt_with_grass_prairie|0.8|coastal|lowland|temperate_temperate
dirt|dirt_silty_with_grass_temperate_temperate_lowland|dirt_with_grass_prairie|0.8|coastal|lowland|temperate_temperate
dirt|dirt_with_grass_gray|dirt_with_grass_prairie|0.8|coastal|lowland|temperate_temperate
dirt|dirt_black_with_grass_temperate_temperate_shelf|dirt_with_grass_prairie|0.8|lowland|shelf|temperate_temperate
dirt|dirt_brown_with_grass_temperate_temperate_shelf|dirt_with_grass_prairie|0.8|lowland|shelf|temperate_temperate
dirt|dirt_clayey_with_grass_temperate_temperate_shelf|dirt_with_grass_prairie|0.8|lowland|shelf|temperate_temperate
dirt|dirt_sandy_with_grass_temperate_temperate_shelf|dirt_with_grass_prairie|0.8|lowland|shelf|temperate_temperate
dirt|dirt_silty_with_grass_temperate_temperate_shelf|dirt_with_grass_prairie|0.8|lowland|shelf|temperate_temperate
dirt|dirt_with_grass_gray|dirt_with_grass_prairie|0.8|lowland|shelf|temperate_temperate
dirt|dirt_black_with_grass_temperate_temperate_highland|dirt_with_grass_prairie|0.8|shelf|highland|temperate_temperate
dirt|dirt_brown_with_grass_temperate_temperate_highland|dirt_with_grass_prairie|0.8|shelf|highland|temperate_temperate
dirt|dirt_clayey_with_grass_temperate_temperate_highland|dirt_with_grass_prairie|0.8|shelf|highland|temperate_temperate
dirt|dirt_sandy_with_grass_temperate_temperate_highland|dirt_with_grass_prairie|0.8|shelf|highland|temperate_temperate
dirt|dirt_silty_with_grass_temperate_temperate_highland|dirt_with_grass_prairie|0.8|shelf|highland|temperate_temperate
dirt|stone|stone_granite_pink|0.8|highland|mountain|temperate_temperate
dirt|stone_desert|stone_granite_pink|0.8|highland|mountain|temperate_temperate
dirt|stone_diorite|stone_granite_pink|0.8|highland|mountain|temperate_temperate
dirt|stone_greenstone|stone_granite_pink|0.8|highland|mountain|temperate_temperate
dirt|stone_bluestone|stone_granite_pink|0.8|highland|mountain|temperate_temperate
dirt|stone_granite_pink|stone_desert|0.8|mountain|strato|temperate_temperate
dirt|stone_desert|stone_desert|0.8|mountain|strato|temperate_temperate
dirt|stone_diorite|stone_desert|0.8|mountain|strato|temperate_temperate
dirt|stone_greenstone|stone_desert|0.8|mountain|strato|temperate_temperate
dirt|stone_bluestone|stone_desert|0.8|mountain|strato|temperate_temperate
#
#
#PRAIRIE
#
#
dirt|dirt_black_with_grass_temperate_semiarid_coastal|dirt_with_grass_dry|0.8|beach|coastal|temperate_semiarid
dirt|dirt_brown_with_grass_temperate_semiarid_coastal|dirt_with_grass_dry|0.8|beach|coastal|temperate_semiarid
dirt|dirt_clayey_with_grass_temperate_semiarid_coastal|dirt_with_grass_dry|0.8|beach|coastal|temperate_semiarid
dirt|dirt_sandy_with_grass_temperate_semiarid_coastal|dirt_with_grass_dry|0.8|beach|coastal|temperate_semiarid
dirt|dirt_silty_with_grass_temperate_semiarid_coastal|dirt_with_grass_dry|0.8|beach|coastal|temperate_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_dry|0.8|beach|coastal|temperate_semiarid
dirt|dirt_black_with_grass_temperate_semiarid_lowland|dirt_with_grass_dry|0.8|coastal|lowland|temperate_semiarid
dirt|dirt_brown_with_grass_temperate_semiarid_lowland|dirt_with_grass_dry|0.8|coastal|lowland|temperate_semiarid
dirt|dirt_clayey_with_grass_temperate_semiarid_lowland|dirt_with_grass_dry|0.8|coastal|lowland|temperate_semiarid
dirt|dirt_sandy_with_grass_temperate_semiarid_lowland|dirt_with_grass_dry|0.8|coastal|lowland|temperate_semiarid
dirt|dirt_silty_with_grass_temperate_semiarid_lowland|dirt_with_grass_dry|0.8|coastal|lowland|temperate_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_dry|0.8|coastal|lowland|temperate_semiarid
dirt|dirt_black_with_grass_temperate_semiarid_shelf|dirt_with_grass_dry|0.8|lowland|shelf|temperate_semiarid
dirt|dirt_brown_with_grass_temperate_semiarid_shelf|dirt_with_grass_dry|0.8|lowland|shelf|temperate_semiarid
dirt|dirt_clayey_with_grass_temperate_semiarid_shelf|dirt_with_grass_dry|0.8|lowland|shelf|temperate_semiarid
dirt|dirt_sandy_with_grass_temperate_semiarid_shelf|dirt_with_grass_dry|0.8|lowland|shelf|temperate_semiarid
dirt|dirt_silty_with_grass_temperate_semiarid_shelf|dirt_with_grass_dry|0.8|lowland|shelf|temperate_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_dry|0.8|lowland|shelf|temperate_semiarid
dirt|dirt_black_with_grass_temperate_semiarid_highland|dirt_with_grass_dry|0.8|shelf|highland|temperate_semiarid
dirt|dirt_brown_with_grass_temperate_semiarid_highland|dirt_with_grass_dry|0.8|shelf|highland|temperate_semiarid
dirt|dirt_clayey_with_grass_temperate_semiarid_highland|dirt_with_grass_dry|0.8|shelf|highland|temperate_semiarid
dirt|dirt_sandy_with_grass_temperate_semiarid_highland|dirt_with_grass_dry|0.8|shelf|highland|temperate_semiarid
dirt|dirt_silty_with_grass_temperate_semiarid_highland|dirt_with_grass_dry|0.8|shelf|highland|temperate_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_dry|0.8|shelf|highland|temperate_semiarid
dirt|stone_granite_pink|stone_desert|0.8|highland|mountain|temperate_semiarid
dirt|stone_desert|stone_desert|0.8|highland|mountain|temperate_semiarid
dirt|stone_diorite|stone_desert|0.8|highland|mountain|temperate_semiarid
dirt|stone_greenstone|stone_desert|0.8|highland|mountain|temperate_semiarid
dirt|stone_bluestone|stone_desert|0.8|highland|mountain|temperate_semiarid
dirt|stone_granite_pink|stone_sandstone_desert|0.8|mountain|strato|temperate_semiarid
dirt|stone_desert|stone_sandstone_desert|0.8|mountain|strato|temperate_semiarid
dirt|stone_desert|stone_sandstone_desert|0.8|mountain|strato|temperate_semiarid
dirt|stone_greenstone|stone_sandstone_desert|0.8|mountain|strato|temperate_semiarid
dirt|stone_bluestone|stone_sandstone_desert|0.8|mountain|strato|temperate_semiarid
#
#
#FOREST
#
#
dirt|dirt_black_with_litter_coniferous|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_brown_with_litter_coniferous|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_clayey_with_litter_coniferous|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_sandy_with_litter_coniferous|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_silty_with_litter_coniferous|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_black_with_grass_cool_humid_coastal|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_brown_with_grass_cool_humid_coastal|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_clayey_with_grass_cool_humid_coastal|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_sandy_with_grass_cool_humid_coastal|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_silty_with_grass_cool_humid_coastal|dirt_with_litter_coniferous|0.8|beach|coastal|cool_humid
dirt|dirt_black_with_litter_coniferous|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_brown_with_litter_coniferous|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_clayey_with_litter_coniferous|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_sandy_with_litter_coniferous|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_silty_with_litter_coniferous|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_black_with_grass_cool_humid_lowland|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_brown_with_grass_cool_humid_lowland|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_clayey_with_grass_cool_humid_lowland|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_sandy_with_grass_cool_humid_lowland|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_silty_with_grass_cool_humid_lowland|dirt_with_litter_coniferous|0.8|coastal|lowland|cool_humid
dirt|dirt_black_with_litter_coniferous|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_brown_with_litter_coniferous|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_clayey_with_litter_coniferous|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_sandy_with_litter_coniferous|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_silty_with_litter_coniferous|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_black_with_grass_cool_humid_shelf|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_brown_with_grass_cool_humid_shelf|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_clayey_with_grass_cool_humid_shelf|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_sandy_with_grass_cool_humid_shelf|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_silty_with_grass_cool_humid_shelf|dirt_with_litter_coniferous|0.8|lowland|shelf|cool_humid
dirt|dirt_black_with_litter_coniferous|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_brown_with_litter_coniferous|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_clayey_with_litter_coniferous|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_sandy_with_litter_coniferous|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_silty_with_litter_coniferous|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_black_with_grass_cool_humid_highland|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_brown_with_grass_cool_humid_highland|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_clayey_with_grass_cool_humid_highland|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_sandy_with_grass_cool_humid_highland|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
dirt|dirt_silty_with_grass_cool_humid_highland|dirt_with_litter_coniferous|0.8|shelf|highland|cool_humid
#
#
#TIAGA
#
#
#
#
#
#TUNDRA
#
#
