#Ore_Type|Ore_Name|Wherein|Threshold|Y_Min|Y_Max|Biome
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|coastal|lowland|hot_humid
dirt|dirt_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.6|lowland|shelf|hot_humid
dirt|dirt_black_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_brown_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_clayey_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_sandy_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_silty_with_grass_hot_humid_shelf|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|lowland|shelf|hot_humid
dirt|dirt_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
fungi|dirt_with_litter_fungi|dirt_with_litter_rainforest|0.4|shelf|highland|hot_humid
dirt|dirt_black_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_brown_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_clayey_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_sandy_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_silty_with_grass_hot_humid_highland|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|dirt_silty_with_litter_rainforest|dirt_with_litter_rainforest|0.8|shelf|highland|hot_humid
dirt|stone_basalt_01|stone_granite_black|0.8|highland|mountain|hot_humid
dirt|stone_basalt_02|stone_granite_black|0.8|highland|mountain|hot_humid
dirt|stone_granite_brown|stone_granite_black|0.8|highland|mountain|hot_humid
dirt|stone_granite_brown_02|stone_granite_black|0.8|highland|mountain|hot_humid
dirt|stone_granite_01|stone_granite_black|0.8|highland|mountain|hot_humid
dirt|stone_basalt_01|stone_granite_brown_02|0.8|mountain|strato|hot_humid
dirt|stone_basalt_02|stone_granite_brown_02|0.8|mountain|strato|hot_humid
dirt|stone_granite_black|stone_granite_brown_02|0.8|mountain|strato|hot_humid
dirt|stone_granite_brown|stone_granite_brown_02|0.8|mountain|strato|hot_humid
dirt|stone_granite_01|stone_granite_brown_02|0.8|mountain|strato|hot_humid
dirt|dirt_silt_01|sand_volcanic|0.8|beach_depth|beach|hot_beach
dirt|dirt_black_with_grass_hot_semihumid_coastal|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_brown_with_grass_hot_semihumid_coastal|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_clayey_with_grass_hot_semihumid_coastal|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_sandy_with_grass_hot_semihumid_coastal|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_silty_with_grass_hot_semihumid_coastal|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|beach|coastal|hot_semihumid
dirt|dirt_black_with_grass_hot_semihumid_lowland|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_brown_with_grass_hot_semihumid_lowland|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_clayey_with_grass_hot_semihumid_lowland|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_sandy_with_grass_hot_semihumid_lowland|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_silty_with_grass_hot_semihumid_lowland|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|coastal|lowland|hot_semihumid
dirt|dirt_black_with_grass_hot_semihumid_shelf|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_brown_with_grass_hot_semihumid_shelf|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_clayey_with_grass_hot_semihumid_shelf|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_sandy_with_grass_hot_semihumid_shelf|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_silty_with_grass_hot_semihumid_shelf|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|lowland|shelf|hot_semihumid
dirt|dirt_black_with_grass_hot_semihumid_highland|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_brown_with_grass_hot_semihumid_highland|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_clayey_with_grass_hot_semihumid_highland|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_sandy_with_grass_hot_semihumid_highland|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_silty_with_grass_hot_semihumid_highland|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_jungle_01|0.8|shelf|highland|hot_semihumid
dirt|stone_basalt_02|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid
dirt|stone_granite_black|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid
dirt|stone_granite_brown|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid
dirt|stone_granite_01|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid
dirt|stone_gabbro|stone_granite_brown_02|0.8|highland|mountain|hot_semihumid
dirt|stone_basalt_02|stone_gabbro|0.8|mountain|strato|hot_semihumid
dirt|stone_granite_black|stone_gabbro|0.8|mountain|strato|hot_semihumid
dirt|stone_granite_brown|stone_gabbro|0.8|mountain|strato|hot_semihumid
dirt|stone_granite_01|stone_gabbro|0.8|mountain|strato|hot_semihumid
dirt|stone_granite_brown_02|stone_gabbro|0.8|mountain|strato|hot_semihumid
dirt|dirt_black_with_grass_hot_temperate_coastal|dirt_with_grass_jungle_02|0.8|beach|coastal|hot_temperate
dirt|dirt_brown_with_grass_hot_temperate_coastal|dirt_with_grass_jungle_02|0.8|beach|coastal|hot_temperate
dirt|dirt_clayey_with_grass_hot_temperate_coastal|dirt_with_grass_jungle_02|0.8|beach|coastal|hot_temperate
dirt|dirt_sandy_with_grass_hot_temperate_coastal|dirt_with_grass_jungle_02|0.8|beach|coastal|hot_temperate
dirt|dirt_silty_with_grass_hot_temperate_coastal|dirt_with_grass_jungle_02|0.8|beach|coastal|hot_temperate
dirt|dirt_black_with_grass_hot_temperate_lowland|dirt_with_grass_jungle_02|0.8|coastal|lowland|hot_temperate
dirt|dirt_brown_with_grass_hot_temperate_lowland|dirt_with_grass_jungle_02|0.8|coastal|lowland|hot_temperate
dirt|dirt_clayey_with_grass_hot_temperate_lowland|dirt_with_grass_jungle_02|0.8|coastal|lowland|hot_temperate
dirt|dirt_sandy_with_grass_hot_temperate_lowland|dirt_with_grass_jungle_02|0.8|coastal|lowland|hot_temperate
dirt|dirt_silty_with_grass_hot_temperate_lowland|dirt_with_grass_jungle_02|0.8|coastal|lowland|hot_temperate
dirt|dirt_black_with_grass_hot_temperate_shelf|dirt_with_grass_jungle_02|0.8|lowland|shelf|hot_temperate
dirt|dirt_brown_with_grass_hot_temperate_shelf|dirt_with_grass_jungle_02|0.8|lowland|shelf|hot_temperate
dirt|dirt_clayey_with_grass_hot_temperate_shelf|dirt_with_grass_jungle_02|0.8|lowland|shelf|hot_temperate
dirt|dirt_sandy_with_grass_hot_temperate_shelf|dirt_with_grass_jungle_02|0.8|lowland|shelf|hot_temperate
dirt|dirt_silty_with_grass_hot_temperate_shelf|dirt_with_grass_jungle_02|0.8|lowland|shelf|hot_temperate
dirt|dirt_black_with_grass_hot_temperate_highland|dirt_with_grass_jungle_02|0.8|shelf|highland|hot_temperate
dirt|dirt_brown_with_grass_hot_temperate_highland|dirt_with_grass_jungle_02|0.8|shelf|highland|hot_temperate
dirt|dirt_clayey_with_grass_hot_temperate_highland|dirt_with_grass_jungle_02|0.8|shelf|highland|hot_temperate
dirt|dirt_sandy_with_grass_hot_temperate_highland|dirt_with_grass_jungle_02|0.8|shelf|highland|hot_temperate
dirt|dirt_silty_with_grass_hot_temperate_highland|dirt_with_grass_jungle_02|0.8|shelf|highland|hot_temperate
dirt|stone_granite_black|stone_gabbro|0.8|highland|mountain|hot_temperate
dirt|stone_granite_brown|stone_gabbro|0.8|highland|mountain|hot_temperate
dirt|stone_granite_brown_02|stone_gabbro|0.8|highland|mountain|hot_temperate
dirt|stone_granite_01|stone_gabbro|0.8|highland|mountain|hot_temperate
dirt|stone_brown|stone_gabbro|0.8|highland|mountain|hot_temperate
dirt|stone_granite_black|stone_brown|0.8|mountain|strato|hot_temperate
dirt|stone_granite_brown|stone_brown|0.8|mountain|strato|hot_temperate
dirt|stone_granite_brown_02|stone_brown|0.8|mountain|strato|hot_temperate
dirt|stone_granite_01|stone_brown|0.8|mountain|strato|hot_temperate
dirt|stone_gabbro|stone_brown|0.8|mountain|strato|hot_temperate
dirt|dirt_black_with_grass_hot_semiarid_coastal|dirt_with_grass_brown|0.8|beach|coastal|hot_semiarid
dirt|dirt_brown_with_grass_hot_semiarid_coastal|dirt_with_grass_brown|0.8|beach|coastal|hot_semiarid
dirt|dirt_clayey_with_grass_hot_semiarid_coastal|dirt_with_grass_brown|0.8|beach|coastal|hot_semiarid
dirt|dirt_sandy_with_grass_hot_semiarid_coastal|dirt_with_grass_brown|0.8|beach|coastal|hot_semiarid
dirt|dirt_silty_with_grass_hot_semiarid_coastal|dirt_with_grass_brown|0.8|beach|coastal|hot_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_brown|0.8|beach|coastal|hot_semiarid
dirt|dirt_black_with_grass_hot_semiarid_lowland|dirt_with_grass_brown|0.8|coastal|lowland|hot_semiarid
dirt|dirt_brown_with_grass_hot_semiarid_lowland|dirt_with_grass_brown|0.8|coastal|lowland|hot_semiarid
dirt|dirt_clayey_with_grass_hot_semiarid_lowland|dirt_with_grass_brown|0.8|coastal|lowland|hot_semiarid
dirt|dirt_sandy_with_grass_hot_semiarid_lowland|dirt_with_grass_brown|0.8|coastal|lowland|hot_semiarid
dirt|dirt_silty_with_grass_hot_semiarid_lowland|dirt_with_grass_brown|0.8|coastal|lowland|hot_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_brown|0.8|coastal|lowland|hot_semiarid
dirt|dirt_black_with_grass_hot_semiarid_shelf|dirt_with_grass_brown|0.8|lowland|shelf|hot_semiarid
dirt|dirt_brown_with_grass_hot_semiarid_shelf|dirt_with_grass_brown|0.8|lowland|shelf|hot_semiarid
dirt|dirt_clayey_with_grass_hot_semiarid_shelf|dirt_with_grass_brown|0.8|lowland|shelf|hot_semiarid
dirt|dirt_sandy_with_grass_hot_semiarid_shelf|dirt_with_grass_brown|0.8|lowland|shelf|hot_semiarid
dirt|dirt_silty_with_grass_hot_semiarid_shelf|dirt_with_grass_brown|0.8|lowland|shelf|hot_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_brown|0.8|lowland|shelf|hot_semiarid
dirt|dirt_black_with_grass_hot_semiarid_highland|dirt_with_grass_brown|0.8|shelf|highland|hot_semiarid
dirt|dirt_brown_with_grass_hot_semiarid_highland|dirt_with_grass_brown|0.8|shelf|highland|hot_semiarid
dirt|dirt_clayey_with_grass_hot_semiarid_highland|dirt_with_grass_brown|0.8|shelf|highland|hot_semiarid
dirt|dirt_sandy_with_grass_hot_semiarid_highland|dirt_with_grass_brown|0.8|shelf|highland|hot_semiarid
dirt|dirt_silty_with_grass_hot_semiarid_highland|dirt_with_grass_brown|0.8|shelf|highland|hot_semiarid
dirt|dirt_with_grass_dry|dirt_with_grass_brown|0.8|shelf|highland|hot_semiarid
dirt|stone_gabbro|stone_brown|0.8|highland|mountain|hot_semiarid
dirt|stone_granite_brown_02|stone_brown|0.8|highland|mountain|hot_semiarid
dirt|stone_granite_01|stone_brown|0.8|highland|mountain|hot_semiarid
dirt|stone_sand|stone_brown|0.8|highland|mountain|hot_semiarid
dirt|stone_granite_brown|stone_brown|0.8|highland|mountain|hot_semiarid
dirt|stone_gabbro|stone_sand|0.8|mountain|strato|hot_semiarid
dirt|stone_granite_brown_02|stone_sand|0.8|mountain|strato|hot_semiarid
dirt|stone_granite_01|stone_sand|0.8|mountain|strato|hot_semiarid
dirt|stone_brown|stone_sand|0.8|mountain|strato|hot_semiarid
dirt|stone_granite_brown|stone_sand|0.8|mountain|strato|hot_semiarid
dirt|sand|stone_sandstone_gravel|0.8|beach|coastal|hot_arid
dirt|sand_desert|stone_sandstone_gravel|0.8|beach|coastal|hot_arid
dirt|sand_white|stone_sandstone_gravel|0.8|beach|coastal|hot_arid
dirt|stone_sandstone|stone_sandstone_gravel|0.8|beach|coastal|hot_arid
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|beach|coastal|hot_arid
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|beach|coastal|hot_arid
dirt|sand|stone_sandstone_gravel|0.8|coastal|lowland|hot_arid
dirt|sand_desert|stone_sandstone_gravel|0.8|coastal|lowland|hot_arid
dirt|sand_white|stone_sandstone_gravel|0.8|coastal|lowland|hot_arid
dirt|stone_sandstone|stone_sandstone_gravel|0.8|coastal|lowland|hot_arid
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|coastal|lowland|hot_arid
dirt|stone_sandstone_desert|stone_sandstone_desert_gravel|0.8|coastal|lowland|hot_arid
dirt|stone_sandstone_desert|stone_sandstone_gravel|0.8|coastal|lowland|hot_arid
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|coastal|lowland|hot_arid
dirt|sand_white|stone_sandstone_gravel|0.8|lowland|shelf|hot_arid
dirt|stone_sandstone|stone_sandstone_gravel|0.8|lowland|shelf|hot_arid
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|lowland|shelf|hot_arid
dirt|stone_sandstone_desert|stone_sandstone_desert_gravel|0.8|lowland|shelf|hot_arid
dirt|stone_sandstone_desert|stone_sandstone_gravel|0.8|lowland|shelf|hot_arid
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|lowland|shelf|hot_arid
dirt|stone_sandstone|stone_sandstone_gravel|0.8|shelf|highland|hot_arid
dirt|stone_sandstone_desert_gravel|stone_sandstone_gravel|0.8|shelf|highland|hot_arid
dirt|stone_sandstone_desert|stone_sandstone_desert_gravel|0.8|shelf|highland|hot_arid
dirt|stone_sandstone_desert|stone_sandstone_gravel|0.8|shelf|highland|hot_arid
dirt|stone_sandstone_white|stone_sandstone_gravel|0.8|shelf|highland|hot_arid
dirt|stone_desert|stone_sand|0.8|highland|mountain|hot_arid
dirt|stone_granite_brown_02|stone_sand|0.8|highland|mountain|hot_arid
dirt|stone_sandstone_desert|stone_sand|0.8|highland|mountain|hot_arid
dirt|stone_brown|stone_sand|0.8|highland|mountain|hot_arid
dirt|stone_granite_brown|stone_sand|0.8|highland|mountain|hot_arid
dirt|stone_desert|stone_sandstone_desert|0.8|mountain|strato|hot_arid
dirt|stone_sandstone_desert|stone_sandstone_desert|0.8|mountain|strato|hot_arid
dirt|stone_sandstone_white|stone_sandstone_desert|0.8|mountain|strato|hot_arid
dirt|stone_brown|stone_sandstone_desert|0.8|mountain|strato|hot_arid
dirt|stone_sand|stone_sandstone_desert|0.8|mountain|strato|hot_arid
dirt|dirt_silt_01|sand_white|0.8|beach_depth|beach|warm_beach
dirt|dirt_black_with_grass_warm_humid_coastal|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_brown_with_grass_warm_humid_coastal|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_clayey_with_grass_warm_humid_coastal|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_sandy_with_grass_warm_humid_coastal|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_silty_with_grass_warm_humid_coastal|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|beach|coastal|warm_humid
dirt|dirt_black_with_grass_warm_humid_lowland|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_brown_with_grass_warm_humid_lowland|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_clayey_with_grass_warm_humid_lowland|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_sandy_with_grass_warm_humid_lowland|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_silty_with_grass_warm_humid_lowland|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|coastal|lowland|warm_humid
dirt|dirt_black_with_grass_warm_humid_shelf|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_brown_with_grass_warm_humid_shelf|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_clayey_with_grass_warm_humid_shelf|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_sandy_with_grass_warm_humid_shelf|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_silty_with_grass_warm_humid_shelf|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|lowland|shelf|warm_humid
dirt|dirt_black_with_grass_warm_humid_highland|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_brown_with_grass_warm_humid_highland|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_clayey_with_grass_warm_humid_highland|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_sandy_with_grass_warm_humid_highland|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_silty_with_grass_warm_humid_highland|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_black_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_brown_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_clayey_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_sandy_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|dirt_silty_with_litter_rainforest|dirt_with_grass_peat_moss|0.8|shelf|highland|warm_humid
dirt|stone_basalt_03|stone_granite_brown|0.8|highland|mountain|warm_humid
dirt|stone_gneiss_02|stone_granite_brown|0.8|highland|mountain|warm_humid
dirt|stone_sand|stone_granite_brown|0.8|highland|mountain|warm_humid
dirt|stone_sandstone|stone_granite_brown|0.8|highland|mountain|warm_humid
dirt|stone_brown|stone_granite_brown|0.8|highland|mountain|warm_humid
dirt|stone_basalt_03|stone_brown|0.8|mountain|strato|warm_humid
dirt|stone_gneiss_02|stone_brown|0.8|mountain|strato|warm_humid
dirt|stone_sand|stone_brown|0.8|mountain|strato|warm_humid
dirt|stone_sandstone|stone_brown|0.8|mountain|strato|warm_humid
dirt|stone_granite_brown|stone_brown|0.8|mountain|strato|warm_humid
dirt|dirt_black_with_grass_warm_semihumid_coastal|dirt_with_grass_swamp|0.8|beach|coastal|warm_semihumid
dirt|dirt_brown_with_grass_warm_semihumid_coastal|dirt_with_grass_swamp|0.8|beach|coastal|warm_semihumid
dirt|dirt_clayey_with_grass_warm_semihumid_coastal|dirt_with_grass_swamp|0.8|beach|coastal|warm_semihumid
dirt|dirt_sandy_with_grass_warm_semihumid_coastal|dirt_with_grass_swamp|0.8|beach|coastal|warm_semihumid
dirt|dirt_silty_with_grass_warm_semihumid_coastal|dirt_with_grass_swamp|0.8|beach|coastal|warm_semihumid
dirt|dirt_with_soil_wet|dirt_with_grass_swamp|0.8|beach|coastal|warm_semihumid
dirt|dirt_black_with_grass_warm_semihumid_lowland|dirt_with_grass_swamp|0.8|coastal|lowland|warm_semihumid
dirt|dirt_brown_with_grass_warm_semihumid_lowland|dirt_with_grass_swamp|0.8|coastal|lowland|warm_semihumid
dirt|dirt_clayey_with_grass_warm_semihumid_lowland|dirt_with_grass_swamp|0.8|coastal|lowland|warm_semihumid
dirt|dirt_sandy_with_grass_warm_semihumid_lowland|dirt_with_grass_swamp|0.8|coastal|lowland|warm_semihumid
