#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Particle_Img|Draw_Type|Param_Type|ParamType2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Use_Alpha|Alpha|Sun_Prop|Damage_Per_Second|Grnd_Cnt|Legacy|Groups|Groups2|Max_Drops|Drops|Sounds|Group_Cracky|Group_Crumbly|Group_Choppy|Group_Snappy|Group_Bendy|Group_Oddly_Breakable_by_Hand|Group_Level|Group_Stone|Group_Sand|Group_Glass|Group_Ore|Group_Metal|Group_Mineral|Group_Ice|Group_Snowy|Group_Dirt|Group_Grass|Group_Soil|Group_BakedClay|Group_Liquid|Group_Lava|Group_Igniter|Group_Mud|Group_Oil|Group_Flammable|Group_Quicksand|Group_Water|Group_Puts_Out_Fire|Group_Cools_Lava|Group_Falling_Node|Group_Not_In_Creative_Inventory|Group_Drown|Group_Disable_Jump|Group_Mohs|Group_RockType|Grp_MatType|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|PostEffectColor|vframe_asp_w|vframe_asp_h|vframe_len
##     Stone Brick Block Nodes     ##|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
stone_basalt_02|Basalt 02|mineral|basalt|lib_materials_stone_basalt_02.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||7|igneous=1|stone=1||||||||||
stone_basalt_03|Basalt 03|rocks|basalt|lib_materials_stone_basalt_03.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||7|igneous=1|stone=1||||||||||
stone_block|Stone Block|default|stone_block|lib_materials_stone_block.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_bluestone|Blue Stone|grailtest||lib_materials_stone_bluestone.png|||||||||||||||TRUE||cracky=3,stone=1,level=2|cracky 3,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_bluestone_basalt|Blue Stone Basalt|australia|bluestone|aus_bluestone.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_bluestone_basalt_brick|Blue Stone Basalt Brick|australia|bluestone_brick|aus_bluestone_brick.png|||||||||||||||FALSE||cracky=1,stone=1|cracky 1,stone 1|||stone|1|||||||1||||||||||||||||||||||||||||||||||||||
stone_bluestone_basalt_cobble|Blue Stone Basalt Cobble|australia|bluestone_cobble|aus_bluestone_cobble.png|||||||||||||||FALSE||cracky=2,stone=2|cracky 2,stone 2|||stone|2|||||||2||||||||||||||||||||||||||||||||||||||
stone_brick|Stone Brick|default|stonebrick|lib_materials_stone_brick.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_brick_mossy|Mossy Stone Brick|decoblocks||lib_materials_stone_brick_mossy.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_bricks_grey|Grey Stone Bricks|moreblocks||moreblocks_grey_bricks.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_brown|Brown|||lib_materials_stone_brown.png|||||||||||||||TRUE||cracky=3,stone=1,level=2|cracky 3,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_brown_angled|Brown Angled|||lib_materials_stone_brown.png|||||||||||||||FALSE||cracky=3,stone=1,level=2|cracky 3,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_brownstone|Brownstone|rocks||lib_materials_stone_brownstone.png|||||||||||||||TRUE||cracky=3,stone=1,level=1|cracky 3,stone 1,level 1|||stone|3||||||1|1||||||||||||||||||||||||||||||||||||||
stone_castle_dungeon|Castle Dungeon|castles||castle_dungeon_stone.png|||||||||||||||FALSE||cracky=3,stone=1,level=2|cracky 3,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_castle_pavement|Castle Pavement|castles||castle_pavement_brick.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_castle_rubble|Castle Rubble|castles||castle_rubble.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||gravel|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_castle_slate|Castle Slate|castles||castle_slate.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_castle_wall|Castle Wall|castles||castle_stonewall.png|||||||||||||||FALSE||cracky=3,stone=1,level=2|cracky 3,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_cement|Cement|||lib_materials_sand_default.png^(lib_materials_stone_gravel.png^[opacity:150)|||||||||||||||TRUE||crumbly=3,falling_node=1,sand=1|crumbly 3,falling_node 1|||sand||||||||||||||||||||||||||||||||||||||||||||||
stone_cement_hard|Hard Cement|||((lib_materials_sand_default.png^(lib_materials_stone_gravel.png^[opacity:150))^[colorize:#000000:100)^[brighten|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone||||||||||||||||||||||||||||||||||||||||||||||
stone_cement_wet|Wet Cement|||(lib_materials_sand_default.png^(lib_materials_stone_gravel.png^[opacity:150))^[colorize:#000000:100||||||FALSE|||||||||TRUE||crumbly=2,mud=1,liquid=3,disable_jump=1|crumbly 2,liquid 3,disable_jump 1|||dirt||||||||||||||||||||||||||||||||||||||||||||||
stone_chalk|Chalk|darkage|chalk|lib_materials_stone_chalk.png|||||||||||||||TRUE||crumbly=2,cracky=2,not_cuttable=1|crumbly 2,cracky 2,not_cuttable 1||lib_materials:mineral_chalk_powder 2|stone|2|2||||||||||||||||||||||||||||||||||||||||||||
stone_circle_tile|Circle Stone Tile|moreblocks||moreblocks_circle_stone_bricks.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_claystone|Claystone|rocks|claystone|lib_materials_stone_claystone.png|||||||||||||||TRUE||crumbly=1,cracky=3|crumbly 1,cracky 3|||dirt|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_claystone_02|Claystone 02|aotearoa|claystone|lib_materials_stone_claystone_02.png|||||||||||||||TRUE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_claystone_02_block|Claystone 02 Block|aotearoa|claystone_block|lib_materials_stone_claystone_02_block.png|||||||||||||||FALSE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_claystone_02_brick|Claystone 02 Brick|aotearoa|claystone_brick|lib_materials_stone_claystone_02_brick.png|||||||||||||||FALSE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_claystone_02_cobble|Claystone 02 Cobble|||lib_materials_stone_claystone_02.png^lib_materials_cobble_mask.png|||||||||||||||FALSE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_coal|Coal Stone|moreblocks||moreblocks_coal_stone.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_coal_bricks|Coal Stone Bricks|moreblocks||moreblocks_coal_stone_bricks.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_coal_tile|Coal Stone Tile|xdecor||xdecor_coalstone_tile.png,xdecor_coalstone_tile.png,xdecor_coalstone_tile.png,xdecor_coalstone_tile.png,xdecor_coalstone_tile.png^[transformR90,xdecor_coalstone_tile.png^[transformR90|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_coal_tile_checker|Coal Stone Tile_Checker|moreblocks||lib_materials_stone_default.png^moreblocks_coal_checker.png,lib_materials_stone_default.png^moreblocks_coal_checker.png,lib_materials_stone_default.png^moreblocks_coal_checker.png,lib_materials_stone_default.png^moreblocks_coal_checker.png,lib_materials_stone_default.png^moreblocks_coal_checker.png^[transformR90,lib_materials_stone_default.png^moreblocks_coal_checker.png^[transformR90|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|1||||||1||||||||||||||||||||||||||||||||||||||
stone_cobble|Cobble|default|cobble|lib_materials_stone_cobble_default.png|||||||||||||||FALSE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_cobble_compressed|Compressed Cobble|moreblocks||moreblocks_cobble_compressed.png|||||||||||||||TRUE||cracky=1|cracky 1|||stone|1|||||||||||||||||||||||||||||||||||||||||||||
stone_cobble_hot|Hot Cobble|||lib_materials_stone_cobble_hot.png||||||||||||||4|TRUE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_cobble_mossy|Mossy Cobble|default|mossycobble|lib_materials_stone_cobble_mossy.png|||||||||||||||TRUE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_cobble_road|Road Cobble|||lib_materials_stone_cobble_road.png|||||||||||||||FALSE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_cobble_small|Small Cobble|||lib_materials_stone_default_cobble_small.png|||||||||||||||TRUE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_cobble_with_plaster|Cobble with Plaster|darkage|cobble_with_plaster|lib_materials_stone_chalk.png^(lib_materials_stone_cobble_default.png^[mask:lib_materials_mask_plaster_D.png),lib_materials_stone_chalk.png^(lib_materials_stone_cobble_default.png^[mask:lib_materials_mask_plaster_B.png),lib_materials_stone_chalk.png^(lib_materials_stone_cobble_default.png^[mask:lib_materials_mask_plaster_C.png),lib_materials_stone_chalk.png^(lib_materials_stone_cobble_default.png^[mask:lib_materials_mask_plaster_A.png),lib_materials_stone_cobble_default.png,lib_materials_stone_chalk.png||||facedir|||||||||||FALSE||cracky=3,not_cuttable=1|cracky 3,not_cuttable 1|||stone|3|||||||||||||||||||||||||||||||||||||||||||||
stone_concrete|Concrete|aotearoa|concrete|lib_materials_stone_concrete.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_concrete_block|Concrete Block|aotearoa|concrete_block|lib_materials_stone_concrete_block.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_concrete_brick|Concrete Brick|aotearoa|concrete_brick|lib_materials_stone_concrete_brick.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_concrete_cobble|Concrete Cobble|||lib_materials_stone_concrete.png^lib_materials_cobble_mask.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_conglomerate|Conglomerate|rocks|conglomerate|lib_materials_stone_conglomerate.png|||||||||||||||TRUE||crumbly=3|crumbly 3|||dirt||3||||||||||||||||||||||||||||||||||||||||||||
stone_conglomerate_02|Conglomerate 02|aotearoa|conglomerate|lib_materials_stone_conglomerate_02.png|||||||||||||||TRUE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_conglomerate_02_block|Conglomerate 02 Block|aotearoa|conglomerate_block|lib_materials_stone_conglomerate_02_block.png|||||||||||||||FALSE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_conglomerate_02_brick|Conglomerate 02 Brick|aotearoa|conglomerate_brick|lib_materials_stone_conglomerate_02_brick.png|||||||||||||||FALSE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_default_rockwall|Stone Rockwall|||lib_materials_stone_default_rockwall.png|||||||||||||||FALSE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_desert|Desert Stone|default|desert_stone|lib_materials_stone_desert_default.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1||lib_materials:stone_desert_cobble|stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_desert_block|Desert Stone Block|default|desert_stone_block|lib_materials_stone_desert_block.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_desert_brick|Desert Stone Brick|default|desert_stonebrick|lib_materials_stone_desert_brick.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_desert_cobble|Desert Stone Cobble|||lib_materials_stone_desert_cobble.png|||||||||||||||TRUE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_desert_cobble_small|Desert Stone Cobble Small|default|desert_cobble|lib_materials_stone_desert_cobble_small.png|||||||||||||||TRUE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_desert_gravel|Desert Stone Gravel|||lib_materials_stone_desert_gravel.png|||||||||||||||TRUE||cracky=3,stone=2|crumbly 2,falling_node 1, gravel 1|||gravel|3|||||||2||||||||||||||||||||||1||||||||||||||||
stone_desert_rockwall|Desert Stone Rockwall|||lib_materials_stone_desert_rockwall.png|||||||||||||||FALSE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_desert_tile|Desert Stone Tile|xdecor||xdecor_desertstone_tile.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_diorite|Diorite|rocks|diorite|lib_materials_stone_diorite.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_gabbro|Gabbro|rocks|gabbro|lib_materials_stone_gabbro.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_gneiss_01|Gneiss 01|darkage|gneiss|lib_materials_stone_gneiss_01.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|1|lib_materials:stone_gneiss_01_cobble,lib_materials:stone_gneiss_01 20|stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_gneiss_01_block|Gneiss 01 Block|darkage||lib_materials_stone_gneiss_01_block.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_gneiss_01_brick|Gneiss 01 Brick|darkage||lib_materials_stone_gneiss_01_brick.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|||||||1||||||||||||||||||||||||||||||||||||||
stone_gneiss_01_cobble|Gneiss 01 Cobble|darkage|gneiss_cobble|lib_materials_stone_gneiss_01_cobble.png|||||||||||||||TRUE||cracky=3,stone=2|cracky 3,stone 2|||stone|3|||||||2||||||||||||||||||||||||||||||||||||||
stone_gneiss_02|Gneiss 02|||lib_materials_stone_gneiss_02.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_granite_01|Granite 01 (Technic)|technic|granite|lib_materials_stone_granite_01.png|||||||||||||||TRUE|TRUE|cracky=1,granite=1,stone=1,level=2|cracky 1,granite 1,stone 1,level 2|||stone|1||||||2|1||||||||||||||||||||||||||||||||||||||
stone_granite_02|Granite 02|mapgen|granite|lib_materials_stone_granite_02.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_granite_02_block|Granite 02 Block|||lib_materials_stone_granite_02_block.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_granite_03|Granite 03|rocks|granite|lib_materials_stone_granite_03.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_granite_04|Granite 04|rocks||lib_materials_stone_granite_04.png|||||||||||||||TRUE||cracky=3,stone=1,level=1|cracky 3,stone 1,level 1|||stone|3||||||1|1||||||||||||||||||||||||||||||||||||||
stone_granite_black|Black Granite|rocks||lib_materials_stone_granite_black.png|||||||||||||||TRUE||cracky=3,stone=1,level=1|cracky 3,stone 1,level 1|||stone|3||||||1|1||||||||||||||||||||||||||||||||||||||
stone_granite_brown|Brown Granite|mapgen|granite_brown|lib_materials_stone_granite_brown.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_granite_brown_02|Brown Granite 02|rocks||lib_materials_stone_granite_brown_02.png|||||||||||||||TRUE||cracky=3,stone=1,level=1|cracky 3,stone 1,level 1|||stone|3||||||1|1||||||||||||||||||||||||||||||||||||||
stone_granite_brown_block|Brown Granite Block|||lib_materials_stone_granite_brown_block.png|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_granite_pink|Pink Granite|rocks||lib_materials_stone_granite_pink.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_gravel|Gravel|default||lib_materials_stone_gravel_default.png|||||||||||||||TRUE||crumbly=2,falling_node=1|crumbly 2,falling_node 1, gravel 1|1|lib_materials:stone_gravel,lib_materials:tool_rock_flint 16|gravel||2||||||||||||||||||||||||||||1||||||||||||||||
stone_gravel_01|Gravel 01|||lib_materials_stone_gravel_01.png|||||||||||||||TRUE||crumbly=2,falling_node=1|crumbly 2,falling_node 1, gravel 1|1|lib_materials:stone_gravel,lib_materials:tool_rock_flint 16|gravel||2||||||||||||||||||||||||||||1||||||||||||||||
stone_gravel_02|Gravel 02|||lib_materials_stone_gravel_02.png|||||||||||||||TRUE||crumbly=2,falling_node=1|crumbly 2,falling_node 1, gravel 1|1|lib_materials:stone_gravel,lib_materials:tool_rock_flint 16|gravel||2||||||||||||||||||||||||||||1||||||||||||||||
stone_greenstone|Green Stone|grailtest||lib_materials_stone_greenstone.png|||||||||||||||TRUE||cracky=3,stone=1,level=2|cracky 3,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_iron|Iron Stone|moreblocks||moreblocks_iron_stone.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_iron_tile_checker|Iron Stone Tile_Checker|moreblocks||lib_materials_stone_default.png^moreblocks_iron_checker.png,lib_materials_stone_default.png^moreblocks_iron_checker.png,lib_materials_stone_default.png^moreblocks_iron_checker.png,lib_materials_stone_default.png^moreblocks_iron_checker.png,lib_materials_stone_default.png^moreblocks_iron_checker.png^[transformR90,lib_materials_stone_default.png^moreblocks_iron_checker.png^[transformR90|||||||||||||||FALSE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|1||||||1||||||||||||||||||||||||||||||||||||||
stone_laterite|Laterite Clay|rocks|laterite|lib_materials_stone_laterite.png|||||||||||||||TRUE||crumbly=3|crumbly 3|||stone||3||||||||||||||||||||||||||||||||||||||||||||
stone_limestone_01|Limestone 01|mapgen|limestone|lib_materials_stone_limestone_01.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_limestone_02|Limestone 02|rocks|limestone|lib_materials_stone_limestone_02.png|||||||||||||||TRUE||cracky=2|cracky 2|||stone|2|||||||||||||||||||||||||||||||||||||||||||||
stone_limestone_03|Limestone 03|aotearoa|limestone|lib_materials_stone_limestone_03.png|||||||||||||||TRUE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|1||||||||||||||||||||||||||||||||||||||||||||
stone_limestone_03_block|Limestone 03 Block|aotearoa|limestone_block|lib_materials_stone_limestone_03_block.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|1||||||||||||||||||||||||||||||||||||||||||||
stone_limestone_03_brick|Limestone 03 Brick|aotearoa|limestone_brick|lib_materials_stone_limestone_03_brick.png|||||||||||||||FALSE||cracky=2,stone=1|cracky 2,stone 1|||stone|2|1||||||||||||||||||||||||||||||||||||||||||||
stone_limestone_coquina|Coquina Limestone|aotearoa|coquina_limestone|lib_materials_stone_limestone_coquina.png|||||||||||||||TRUE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_limestone_coquina_block|Coquina Limestone Block|aotearoa|coquina_limestone_block|lib_materials_stone_limestone_coquina_block.png|||||||||||||||FALSE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_limestone_coquina_brick|Coquina Limestone Brick|aotearoa|coquina_limestone_brick|lib_materials_stone_limestone_coquina_brick.png|||||||||||||||FALSE||cracky=3,crumbly=1|cracky 3,crumbly 1|||stone|3|1||||||||||||||||||||||||||||||||||||||||||||
stone_marble_01|Marble 01 (Technic)|technic|marble|lib_materials_stone_marble_01.png|||||||||||||||TRUE|TRUE|cracky=3,marble=1,stone=1,level=2|cracky 3,marble 1,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_marble_02|Marble 02|mapgen|marble|lib_materials_stone_marble_02.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_marble_03|Marble 03|darkage|marble|lib_materials_stone_marble_03.png|||||||||||||||TRUE||cracky=3,stone=1|cracky 3,stone 1|||stone|3|||||||1||||||||||||||||||||||||||||||||||||||
stone_marble_03_block|Marble 03 Block|||lib_materials_stone_marble_03_block.png|||||||||||||||FALSE||cracky=2|cracky 2|||stone|2|||||||||||||||||||||||||||||||||||||||||||||
stone_marker|Green Stone|grailtest||lib_materials_stone_marker.png,lib_materials_stone_marker_side.png|||||||||||||||FALSE||cracky=3,stone=1,level=2|cracky 3,stone 1,level 2|||stone|3||||||2|1||||||||||||||||||||||||||||||||||||||
stone_mudstone|Mudstone|rocks|mudstone|lib_materials_stone_mudstone.png|||||||||||||||TRUE||cracky=1,crumbly=3|cracky 1,crumbly 3|||dirt|1|3||||||||||||||||||||||||||||||||||||||||||||
stone_obsidian|Obsidian|default|obsidian|lib_materials_stone_obsidian_default.png|||||||||||||||TRUE||cracky=1,level=2|cracky 1,level 2|||stone|1||||||2|1||||||||||||||||||||||||||||||||||||||
stone_obsidian_block|Obsidian Block|default|obsidian_block|lib_materials_stone_obsidian_block.png|||||||||||||||FALSE||cracky=1,level=2|cracky 1,level 2|||stone|1||||||2|1||||||||||||||||||||||||||||||||||||||
