#Name|Dust|NodeTop|NodeTopDepth|Filler|FillerDepth|Stone|WaterTop|WaterTopDepth|Water|River water|RiverBed|RiverBedDepth|CaveLiquid|DungeonNode|DungeonAlt|DungeonStair|Y-min|Y-max|Temperature|Humidity|MaxPos|MinPos|VerticalBlend
#GENERIC|||||||||||||||||||||||
generic_mantle||lib_materials:stone_brown|5|lib_materials:stone_basalt_01|6|lib_materials:liquid_lava_source|||||||||||-31000|-20000|50|50|||
cold_beach||lib_materials:dirt_with_snow|1|lib_materials:stone_brown|4|lib_materials:stone_basalt_01|||||||||||beach_depth|beach|cold|humid|||
cold_humid||lib_materials:dirt_with_snow|1|lib_materials:dirt|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cold|humid|||
cold_semihumid||lib_materials:dirt_with_snow|1|lib_materials:dirt_permafrost|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cold|semihumid|||
cold_temperate||lib_materials:dirt_permafrost_with_snow|1|lib_materials:dirt_permafrost|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cold|temperate|||
cold_semiarid||lib_materials:dirt_permafrost|1|lib_materials:dirt_permafrost|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cold|semiarid|||
cold_arid||lib_materials:dirt_permafrost|1|lib_materials:dirt_permafrost|4|lib_materials:stone_basalt_01|||||||||||beach|highland|cold|arid|||
#SWAMPS|||||||||||||||||||||||
tropical_rainforest_swamp||lib_materials:dirt_mud_01|1|lib_materials:dirt_mud_01|12|lib_materials:stone_brown|||||||||||-1|2|85|95|||
subtropical_rainforest_swamp||lib_materials:dirt_mud_01|1|lib_materials:dirt_mud_01|12|lib_materials:stone_brown|||||||||||-1|2|75|95|||
deciduous_forest_swamp||lib_materials:dirt_mud_01|1|lib_materials:dirt_silty|12|lib_materials:stone_mudstone|||||||||||-4|4|60|60|||
temperate_rainforest_swamp||lib_materials:dirt_mud_01|1|lib_materials:dirt_mud_01|12|lib_materials:stone_brown|||||||||||-1|2|50|95|||
